team,region_name,location_name,trip_code,set_code,set_date,wkt_coordinates,latitude,longitude,depth,site_name,reef_name,reef_habitat_name,drop_time,haul_time,equipment_frame_type,equipment_camera,equipment_stereo_camera,equipment_camera_height,equipment_arm_length,bait_preparation,bait_type,bait_oiled,visibility,current_flow_estimated,current_flow_instrumented,video_file_name,video_source,video_path,comments,message_to_annotators,bruv_image_url,splendor_image_url,reviewed_assignments,total_assignments,master_record_state
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_004,2015-11-03,01010000003333333333076240FF03AC55BBC62BC0,-13.88814800,144.22500000,18.50,Northern GBR 1,Corbett Reef,slope,10:58:00,12:12:00,Rebar,GoPro Hero4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_004.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_005,2015-11-03,01010000002A711DE38A076240B8E52329E9C92BC0,-13.89435700,144.23570400,14.30,Northern GBR 1,Corbett Reef,slope,11:16:00,12:47:00,Rebar,GoPro Hero4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCBC_005.mp4,,,,,,,3,3,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_006,2015-11-03,0101000000D0B359F539076240732F302B14C92BC0,-13.89273200,144.22582500,11.20,Northern GBR 1,Corbett Reef,slope,11:30:00,12:57:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCBC_006.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_007,2015-11-03,0101000000B32616F88A066240FA6184F068CB2BC0,-13.89728500,144.20446400,10.90,Northern GBR 1,Corbett Reef,slope,16:30:00,17:36:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCBC_007.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_008,2015-11-03,0101000000333509DE90066240C66CC9AA08C72BC0,-13.88873800,144.20518400,7.80,Northern GBR 1,Corbett Reef,slope,16:18:00,17:23:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_008.mp4,,,dropoff,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_009,2015-11-03,01010000002B508BC1C3066240AD2F12DA72CE2BC0,-13.90322000,144.21139600,22.10,Northern GBR 1,Corbett Reef,slope,13:38:00,15:13:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCBC_009.mp4,,,BB munched = ok,,,,1,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_010,2015-11-03,0101000000A8397991090762400458E4D70FD12BC0,-13.90832400,144.21991800,23.30,Northern GBR 1,Corbett Reef,slope,13:17:00,15:01:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_010.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_011,2015-11-03,01010000009370218FE0066240F697DD9387D52BC0,-13.91705000,144.21491200,16.00,Northern GBR 1,Corbett Reef,slope,13:48:00,15:25:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_011.mp4,,,,,,,3,3,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_012,2015-11-03,0101000000022B8716D9066240D811876C20C52BC0,-13.88501300,144.21400000,7.80,Northern GBR 1,Corbett Reef,slope,14:00:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_012.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_013,2015-11-03,01010000004837C2A222076240A0A52BD846C42BC0,-13.88335300,144.22297800,7.80,Northern GBR 1,Corbett Reef,slope,16:03:00,17:10:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_013.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_014,2015-11-04,0101000000A41820D1840762404A24D1CB28CE2BC0,-13.90265500,144.23496300,15.40,Northern GBR 1,Corbett Reef,slope,08:22:00,09:54:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCBC_014.mp4,,,,,,,2,2,Completed
