region_name,location_name,site_name,site_type,reef_name,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,fishing_restrictions,shark_fishing_gear,region_id,location_id,site_id,reef_id
Pacific,USA-Pacific,Pearl and Hermes Atoll,A,Pearl and Hermes Atoll,closed,Northwestern Hawaiian Islands Marine Refuge,360000.00,2006,>20km to next reef,high,"gear, effort, size, area, species",,3,66,312,724
Pacific,Vanuatu,Espíritu Santo,V,East Luganville,openly fished,,,,,,,hook and line; gillnet; spear; longline; seine; drumline,3,87,159,426
Pacific,Vanuatu,Espíritu Santo,V,Vuti,openly fished,,,,,,,longline; hook and line; drumline; gillnet; seine; spear,3,87,159,363
Pacific,Vanuatu,Nguna,V,Emao / Coast,restricted,Nguna-Pele Marine Protected Area Network,30.00,2009,<20km to next reef,medium,"area, effort",hook and line; seine; gillnet; spear,3,87,158,425
Pacific,Vanuatu,Nguna,V,Nguna / Pele,restricted,Nguna-Pele Marine Protected Area Network,30.00,2009,<20km to next reef,medium,"effort, area",hook and line; seine; spear,3,87,158,349
Western Atlantic,Antigua and Barbuda,Barbuda,I,Barbuda North,restricted,Coddrington MPA,18.00,2010,<20km to next reef,low,gear,hook and line; fish trap; drumline,1,115,230,514
Western Atlantic,Antigua and Barbuda,Barbuda,I,Palasar,closed,Palasar Reserve,20.00,2008,<20km to next reef,medium,,,1,115,230,751
Western Atlantic,Bahamas,Abaco,I,Bight of Old Robinson Bay,restricted,,,,,,"gear, species, size, area, bag",hook and line; fish trap; drumline; spear,1,3,21,490
Western Atlantic,Bahamas,Abaco,I,Bight Reef,restricted,,,,,,"gear, area, bag, species, size",drumline; spear; hook and line; fish trap,1,3,21,457
Western Atlantic,Bahamas,Abaco,I,Elbow Cay Reef,restricted,,,,,,"bag, gear, species, size",hook and line; spear; drumline; fish trap,1,3,21,55
Western Atlantic,Bahamas,Abaco,I,Green Turtle Cay Reef,restricted,,,,,,"size, area, gear, species, bag",hook and line; fish trap; drumline; spear,1,3,21,56
Western Atlantic,Bahamas,Abaco,I,Guana Cay Reef,restricted,,,,,,"gear, area, bag, species, size",fish trap; spear; hook and line; drumline,1,3,21,57
Western Atlantic,Bahamas,Abaco,I,Snake Cay Creek,restricted,,,,,,,,1,3,21,809
Western Atlantic,Bahamas,Abaco,I,Sponge Creek,restricted,,,,,,,,1,3,21,810
Western Atlantic,Bahamas,Abaco,I,Water Cay Bay,restricted,,,,,,"species, gear, bag, area, size",fish trap; drumline; hook and line; spear,1,3,21,489
