region_name,location_name,site_name,reef_name,reef_type,trip_code,trip_year,set_code,maxn,common_name,genus,species,species_group,family,event_time_mil,event_time_mins,set_lat,set_long,visibility,depth,bait,current_flow_estimated,current_flow_instrumented,reef_id,set_id,master_set_id,animal_id
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_023,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,378489,006:18:489,-16.80182000,-151.36671000,,12.00,Sardines,,,553,15939,20739,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_029,,,,,,,,,-18.47107400,146.87568700,7,11.00,Pilchards,,,230,2177,4290,9999
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_025,,,,,,,,,-16.79324000,-151.37251000,,10.00,Sardines,,,553,15941,20742,9999
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_038,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1522214,025:22:214,-16.76617000,-151.39961000,,10.00,Sardines,,,553,15954,20750,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_037,1,Whitetip reef shark,Triaenodon,obesus,Shark,Carcharhinidae,2457682,040:57:682,-18.48594600,146.86554500,7,10.80,Pilchards,,,230,2185,4298,144
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_037,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,502894,008:22:894,-18.48594600,146.86554500,7,10.80,Pilchards,,,230,2185,4298,114
Pacific,French Polynesia,Tubuai,Tubuai1,slope,FP_2017_PF_01,2017,TUB1_042,1,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,2680822,044:40:822,-23.38806000,-149.53871000,,10.00,Sardines,,,557,16553,20515,257
Pacific,French Polynesia,Tubuai,Tubuai2,slope,FP_2017_PF_01,2017,TUB2_012,,,,,,,,,-23.42180000,-149.40813000,,13.00,Sardines,,,558,16573,20988,9999
Pacific,French Polynesia,Raiatea,Raiatea1,slope,FP_2017_PF_01,2017,RIT1_026,1,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,335602,005:35:602,-16.79031000,-151.37697000,,10.00,Sardines,,,553,15942,20743,114
Pacific,Australia-Pacific,Central GBR,Rib Reef,slope,FP_2016_AU-P_01,2016,TSV1_044,1,Whitetip reef shark,Triaenodon,obesus,Shark,Carcharhinidae,1516578,025:16:578,-18.47779800,146.86567300,7,12.50,Pilchards,,,230,2192,12028,144
Pacific,French Polynesia,Takapoto,Takapoto2,slope,FP_2017_PF_01,2017,TPO2_046,1,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,162480,002:42:480,-14.68884000,-145.21869000,,11.00,Sardines,,,595,19171,15958,257
Pacific,French Polynesia,Takapoto,Takapoto2,slope,FP_2017_PF_01,2017,TPO2_046,3,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,2145246,035:45:246,-14.68884000,-145.21869000,,11.00,Sardines,,,595,19171,15958,114
