team,region,location_name,trip_code,set_code,set_date,drop_haul,salinity,conductivity,dissolved_oxygen,tide_state,estimated_wind_speed,measured_wind_speed,wind_direction,cloud_cover,surface_chop,water_temperature
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_014,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_015,2015-11-04,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_015,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_016,2015-11-04,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_016,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_017,2015-11-04,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_017,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_018,2015-11-04,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_018,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_019,2015-11-04,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_019,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_020,2015-11-04,drop,,,,E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_020,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_021,2015-11-04,drop,,,,S2F,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_021,2015-11-04,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCBC_022,2015-11-04,drop,,,,S2F,,,,,,
