"set_id","shark_trophic_group","shark_trophic_numeric","sum_shark_trophic","set_composition"
"19161","lower order",1,1,"lower"
"19167","lower order",1,1,"lower"
"15951","lower order",1,1,"lower"
"19152","lower order",1,1,"lower"
"15936","lower order",1,1,"lower"
"15940","lower order",1,1,"lower"
"16561","lower order",1,1,"lower"
"15938","lower order",1,1,"lower"
"19157","lower order",1,1,"lower"
"19175","lower order",1,1,"lower"
"15854","lower order",1,1,"lower"
"15691","lower order",1,1,"lower"
"15933","lower order",1,1,"lower"
"19126","lower order",1,1,"lower"
"19134","lower order",1,1,"lower"
"19156","lower order",1,1,"lower"
"19160","lower order",1,1,"lower"
"15935","lower order",1,1,"lower"
"15881","lower order",1,1,"lower"
"16329","lower order",1,1,"lower"
"19128","lower order",1,1,"lower"
"32390","lower order",1,1,"lower"
"19140","lower order",1,1,"lower"
"34247","lower order",1,1,"lower"
"34253","apex",2,2,"apex"
"33446","lower order",1,1,"lower"
"19141","lower order",1,1,"lower"
"32391","lower order",1,1,"lower"
"19146","lower order",1,1,"lower"
"34261","lower order",1,1,"lower"
"34287","lower order",1,1,"lower"
"19148","lower order",1,1,"lower"
"24097","apex",2,2,"apex"
"19151","lower order",1,1,"lower"
"19163","lower order",1,1,"lower"
"16348","apex",2,2,"apex"
"16424","lower order",1,1,"lower"
"16438","lower order",1,1,"lower"
"16441","lower order",1,1,"lower"
"16443","lower order",1,1,"lower"
"16444","lower order",1,1,"lower"
"16445","lower order",1,1,"lower"
"16451","lower order",1,1,"lower"
"19164","lower order",1,1,"lower"
"19170","lower order",1,1,"lower"
"35009","lower order",1,1,"lower"
"35011","lower order",1,1,"lower"
"35014","lower order",1,1,"lower"
"35015","lower order",1,1,"lower"
"35017","lower order",1,1,"lower"
"35018","lower order",1,1,"lower"
"35024","lower order",1,1,"lower"
"35026","lower order",1,1,"lower"
"35027","lower order",1,1,"lower"
"35031","lower order",1,1,"lower"
"35033","lower order",1,1,"lower"
"35034","lower order",1,1,"lower"
"35035","lower order",1,1,"lower"
"35037","lower order",1,1,"lower"
"35038","lower order",1,1,"lower"
"35039","lower order",1,1,"lower"
"35042","lower order",1,1,"lower"
"35043","lower order",1,1,"lower"
"35045","lower order",1,1,"lower"
"35052","lower order",1,1,"lower"
"35056","lower order",1,1,"lower"
"35057","lower order",1,1,"lower"
"35059","lower order",1,1,"lower"
"35063","lower order",1,1,"lower"
"19172","lower order",1,1,"lower"
"35069","lower order",1,1,"lower"
"35070","lower order",1,1,"lower"
"35071","lower order",1,1,"lower"
"35072","lower order",1,1,"lower"
"35073","lower order",1,1,"lower"
"32394","lower order",1,1,"lower"
"16867","lower order",1,1,"lower"
"28130","lower order",1,1,"lower"
"16946","lower order",1,1,"lower"
"16947","lower order",1,1,"lower"
"16948","lower order",1,1,"lower"
"16960","lower order",1,1,"lower"
"16963","lower order",1,1,"lower"
"17005","lower order",1,1,"lower"
"16970","lower order",1,1,"lower"
"17010","lower order",1,1,"lower"
"3390","lower order",1,1,"lower"
"3391","lower order",1,1,"lower"
"3397","lower order",1,1,"lower"
"3415","lower order",1,1,"lower"
