"set_lat","set_long","set_id","reef_id","location_id","region_id","mpa_compliance","Shark_fishing_restrictions","Shark_Protection_Status","Shark_Sanctuary","HDI","Government_Effectiveness","Population","Grav_Total","maxn","ingestion_C_g_day","mpa_present","Area_limits","Entrants_limits","Gear_limits","Species_limits","Catch_limits","Size_limits","Temporal_limits","mult_outcomes"
-16.9424,179.06476,"19489","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9423833,179.0535,"19418","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94172,179.06689,"8750","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94162,179.05257,"19482","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94149,179.02226,"20446","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94145,179.0688,"20481","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9414333,179.0653167,"19425","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9411,179.0576333,"19416","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,169.6706,"1","1","1","0","1","0","0","0",0
-16.9409,179.0554667,"19417","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94084,179.02284,"20461","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,169.6706,"1","1","1","0","1","0","0","0",0
-16.9406333,179.0589167,"19415","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.9403,179.06715,"19490","601","68","3","0","Area; Entrants; Species","Closed","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,0,0,"1","1","1","0","1","0","0","0",0
-16.94025,179.02144,"20445","611","68","3","0","Area; Entrants; Species","Restricted","0",-0.246868209525345,-0.478868889583621,-0.345603394191497,-0.125759953583301,1,72,"1","1","1","0","1","0","0","0",0
